query,answer
"При исполнении договора с участником закупки, которому предоставлен приоритет, не допускается замена страны происхождения товаров, за исключением случаев, когда вместо иностранных товаров поставляются российские товары. При этом качество, технические и функциональные характеристики таких товаров не должны уступать качеству и соответствующим техническим и функциональным характеристикам товаров, указанных в договоре.","условие о том, что при исполнении договора, заключенного с участником закупки, которому предоставлен приоритет, не допускается замена страны происхождения товаров, за исключением случая, когда в результате такой замены вместо иностранных товаров поставляются российские товары, при этом качество, технические и функциональные характеристики (потребительские свойства) таких товаров не должны уступать качеству и соответствующим техническим и функциональным характеристикам товаров, указанных в договоре."
"Приоритет не предоставляется в случае, если: приоритет не предоставляется только в случаях, если, например:: в случае: если:::: приоритет предоставляется не в случаях: если и:: приоритет не предоставляется в случае. Если: приоритет будет предоставлен в случае если: приоритет предоставляется в любом случае. Приоритет не предоставляет в случае некоторых случаев, если приоритет не предоставляется. Приоритет предоставляется для того, чтобы:: например: приоритет предоставляет если:","Приоритет не предоставляется в случаях, если:"
Единственный участник закупки признан несостоявшимся и договор заключается с единственным участником закупки. Единственный участник закупки и единственный участник договора заключается с участником сделки.,закупка признана несостоявшейся и договор заключается с единственным участником закупки;
"В заявке на участие в закупке не содержится предложений о поставке товаров российского происхождения, выполнении работ, оказании услуг российскими лицами. Если заявка на участие не содержится, то в заявке на закупку не содержится предложения о поставках российских товаров и выполнении работ.","в заявке на участие в закупке не содержится предложений о поставке товаров российского происхождения, выполнении работ, оказании услуг российскими лицами;"
"В заявке на участие в закупке не содержится предложений о поставке товаров иностранного происхождения, выполнении работ, оказании услуг иностранными лицами. Если в заявке на закупку не содержится предложения о поставках товаров и работ иностранным лицами, то в заявке не содержатся предложений об иностранных лицах.","в заявке на участие в закупке не содержится предложений о поставке товаров иностранного происхождения, выполнении работ, оказании услуг иностранными лицами;"
"В заявке на участие в упрощенной закупке, представленной участником конкурса, содержится предложение о поставке товаров российского и иностранного происхождения, выполнении работ, оказании услуг иностранными лицами, при этом стоимость товаров и работ, выполняемых, оказываемых российскими лицами, составляет менее 50% (пятидесяти процентов) стоимости всех предложенных таким участником товаров, работ, услуг.","в заявке на участие в закупке, представленной участником конкурса, запроса предложений, запроса котировок, ценового запроса, состязательных переговоров, упрощенной закупки содержится предложение о поставке товаров российского и иностранного происхождения, выполнении работ, оказании услуг российскими и иностранными лицами, при этом стоимость товаров российского происхождения, стоимость работ, услуг, выполняемых, оказываемых российскими лицами, составляет менее 50% (пятидесяти процентов) стоимости всех предложенных таким участником товаров, работ, услуг;"
"В заявке на участие в закупке, представленной участником аукциона, содержится предложение о поставке товаров и работ, оказании услуг российскими и иностранными лицами. При этом стоимость товаров российского происхождения, стоимость работ, оказываемых российскими лицами, составляет более 50% (пятидесяти процентов) стоимости всех предложенных таким участником товаров, работ, услуг.","в заявке на участие в закупке, представленной участником аукциона, содержится предложение о поставке товаров российского и иностранного происхождения, выполнении работ, оказании услуг российскими и иностранными лицами, при этом стоимость товаров российского происхождения, стоимость работ, услуг, выполняемых, оказываемых российскими лицами, составляет более 50% (пятидесяти процентов) стоимости всех предложенных таким участником товаров, работ, услуг."
"Приоритет устанавливается с учетом положений Генерального соглашения по тарифам и торговле 1994 года и Договора о Евразийском экономическом союзе от 29 мая 2014 года (пункт 8 ПП 925). Приоритет определяется с учетом позиций Генсоглашения по тарифам 1994 года, Договора об Евразии и Евразийского экономического союза, а также положений Генского соглашения 1994 года.",Приоритет устанавливается с учетом положений Генерального соглашения по тарифам и торговле 1994 года и Договора о Евразийском экономическом союзе от 29 мая 2014 года (пункт 8 ПП 925).
"Приоритет применяется к товарам, происходящим из Донецкой Народной республики, Луганской Народной Республики, на равных условиях с товарами российского происхождения. Приоритет относится к товарам из РФ на равных с товарами, происходящими из РФ. Происхождение товаров подтверждается сертификатами о происхождении.","Приоритет применяется к товарам, происходящим из Донецкой Народной Республики, Луганской Народной Республики, на равных условиях с товарами российского происхождения. Происхождение товаров из Донецкой Народной Республики, Луганской Народной Республики подтверждается сертификатами о происхождении товара, выдаваемыми уполномоченными органами (организациями) Донецкой Народной Республики, Луганской Народной Республики."
"При осуществлении закупок радиоэлектронной продукции, а также интеллектуальных систем управления электросетевым хозяйством, оценка и сопоставление заявок участников закупки осуществляется по ценовым критериям оценки «Цена договора или цена за единицу продукции» и «Стоимость жизненного цикла продукции».","При осуществлении закупок радиоэлектронной продукции, а также интеллектуальных систем управления электросетевым хозяйством (систем удаленного мониторинга и диагностики, интеллектуальных систем учета электрической энергии (мощности), автоматизированных систем управления технологическими процессами подстанций, автоматизированных систем технологического управления центров управления сетями) и (или) программного обеспечения, используемого в качестве компонента указанных систем, путем проведения конкурса, запроса предложений, состязательных переговоров оценка и сопоставление заявок участников закупки по ценовым критериям оценки «Цена договора или цена за единицу продукции» и «Стоимость жизненного цикла продукции» осуществляется в следующем порядке:"
"Оценка и сопоставление заявок, которые содержат предложения о поставке радиоэлектронной продукции и программного обеспечения, по вышеуказанным ценовым критериям оценки производится по предложенной в заявках цене договора, сниженной на 30% (тридцать процентов), при этом договор заключается по цене, предложенной участником в заявке на участие в закупке.","оценка и сопоставление заявок, которые содержат предложения о поставке радиоэлектронной продукции, включенной в единый реестр российской радиоэлектронной продукции, и (или) программного обеспечения, включенного в единый реестр российских программ для электронных вычислительных машин и баз данных, по вышеуказанным ценовым критериям оценки производится по предложенной в указанных заявках цене договора, сниженной на 30% (тридцать процентов), при этом договор заключается по цене договора, предложенной участником в заявке на участие в закупке;"
"В случае, если в документации о закупке при оценке и сопоставлении заявок по критерию «Цена договора или цена за единицу продукции» в качестве единого базиса оценки установлены цены без учета НДС, расчет рейтинга заявок осуществляется в порядке, предусмотренном в подп. 19.19(1) Положения.","в случае, если в документации о закупке при оценке и сопоставлении заявок по критерию «Цена договора или цена за единицу продукции» в качестве единого базиса оценки установлены цены без учета НДС, расчет рейтинга заявок по указанному критерию оценки осуществляется в порядке, предусмотренном в подп. 19.19(1) Положения, после приведения предложений участников закупки к единому базису оценки без учета НДС."
"При осуществлении закупок радиоэлектронной продукции, а также программного обеспечения, используемого в качестве компонента указанных систем, оценка и сопоставление заявок, которые содержат предложения о поставке, производится по критерию оценки «Цена договора или цена за единицу продукции», сниженной на 30% (тридцать процентов). При этом договор заключается по цене договора, предложенной участником в заявке на участие в закупке.","При осуществлении закупок радиоэлектронной продукции, а также интеллектуальных систем управления электросетевым хозяйством (систем удаленного мониторинга и диагностики, интеллектуальных систем учета электрической энергии (мощности), автоматизированных систем управления технологическими процессами подстанций, автоматизированных систем технологического управления центров управления сетями) и (или) программного обеспечения, используемого в качестве компонента указанных систем, путем проведения запроса котировок, упрощенной закупки, ценового запроса оценка и сопоставление заявок, которые содержат предложения о поставке радиоэлектронной продукции, включенной в единый реестр российской радиоэлектронной продукции, и (или) программного обеспечения, включенного в единый реестр российских программ для электронных вычислительных машин и баз данных, по критерию оценки «Цена договора или цена за единицу продукции» производится по предложенной в указанных заявках цене договора, сниженной на 30% (тридцать процентов), при этом договор заключается по цене договора, предложенной участником в заявке на участие в закупке."
В случае переторжки осуществление оценки и сопоставления заявок осуществляется в отношении окончательных предложений участников закупки. В случае проведения переторжки оценка заявок осуществляется в отношении финальных предложений.,"В случае проведения переторжки осуществление оценки и сопоставления заявок в порядке, предусмотренном п. 19.19.12, 19.19.13 Положения, осуществляется в отношении окончательных предложений участников закупки."
"При осуществлении закупок радиоэлектронной продукции, интеллектуальных систем управления электросетевым хозяйством и программного обеспечения, используемого в качестве компонента указанных систем, аукцион с таким победителем заключается по цене, сниженной на 30% (тридцать процентов) от предложенной им цены договора.","При осуществлении закупок радиоэлектронной продукции, а также интеллектуальных систем управления электросетевым хозяйством (систем удаленного мониторинга и диагностики, интеллектуальных систем учета электрической энергии (мощности), автоматизированных систем управления технологическими процессами подстанций, автоматизированных систем технологического управления центров управления сетями) и (или) программного обеспечения, используемого в качестве компонента указанных систем, путем проведения аукциона в случае, если победителем закупки представлена заявка на участие в закупке, содержащая предложение о поставке радиоэлектронной продукции, не включенной в единый реестр российской радиоэлектронной продукции, и (или) программного обеспечения, не включенного в единый реестр российских программ для электронных вычислительных машин и баз данных, договор с таким победителем заключается по цене, сниженной на 30% (тридцать процентов) от предложенной им цены договора."
"В случае, если цена договора снижена до нуля, предметом закупки является право заключить договор с заказчиком по цене, увеличенной на 30% (тридцать процентов) от предложенной им цены договора. Победителем аукциона является заявка на участие в закупке, которая содержит предложение о поставке радиоэлектронной продукции, а также программного обеспечения, не включенного в единый реестр российских программ для электронных вычислительных машин и баз данных.","При осуществлении закупок радиоэлектронной продукции, а также интеллектуальных систем управления электросетевым хозяйством (систем удаленного мониторинга и диагностики, интеллектуальных систем учета электрической энергии (мощности), автоматизированных систем управления технологическими процессами подстанций, автоматизированных систем технологического управления центров управления сетями) и (или) программного обеспечения, используемого в качестве компонента указанных систем, путем проведения аукциона в случае, если в ходе проведения аукциона цена договора снижена до нуля и предметом закупки является право заключить договор с заказчиком (аукцион проводился на повышение цены договора) и победителем аукциона представлена заявка на участие в закупке, которая содержит предложение о поставке радиоэлектронной продукции, не включенной в единый реестр российской радиоэлектронной продукции, и (или) программного обеспечения, не включенного в единый реестр российских программ для электронных вычислительных машин и баз данных, договор с таким победителем заключается по цене, увеличенной на 30% (тридцать процентов) от предложенной им цены договора."
"Закупки опытно-конструкторских работ за закупки опытного-конструкторского работ Закупки проектно-корнструкторских работ Закупка опытно–конструкторских трудов Закупки закупки опробовано-конструктивных работ закупки заказки опытНО-конструкторские работы Закупки разработки и оплатки заказок опытно -конструкторской работ за закупку опытно — конструкторских работ. Закупки заказно-коррекционских работ за покупки опыто-конструкторческих работ за покупку опытной-конструкторско-конструкторов. Закупка проектно-концернских работ за закупки разработок и заказки заказки разработок. Закупочные рабочие работы закупаются за рубежом, а закупки зарубежных работ закупают заказчики опыт",Закупки опытно-конструкторских работ
"При проведении закупки опытно-конструкторских работ квалификационные требования к участникам процедуры закупки могут быть установлены в документации о закупке вне зависимости от НМЦ. Эксперты считают, что требования, установленные при закупке НМЦ, не являются обязательными.","При проведении закупки опытно-конструкторских работ квалификационные требования к участникам процедуры закупки, указанные в подп. 10.4(1) - 10.4(4) Положения, могут быть установлены в документации о закупке вне зависимости от НМЦ."
"При закупке опытно-конструкторских работ в проекте договора, заключаемого по итогам закупки, устанавливаются следующие обязательные требования к результату выполняемых работ. При проведении закупки следует устанавливать соответствующие обязательные обязательства к результату работ.","При проведении закупки опытно-конструкторских работ в проекте договора, заключаемого по итогам закупки, устанавливаются следующие обязательные требования к результату выполняемых работ:"
"надлежащим результатом исполнения договора является разработанная подрядчиком конструкторская документация, которая в обязательном порядке передается заказчику с отчуждением прав на результат интеллектуальной деятельности (используемую технологию) в пользу заказчика либо на условиях совместного использования в случае, определенных правовым актом заказчика.","надлежащим результатом исполнения договора является разработанная подрядчиком (исполнителем) по договору конструкторская документация, которая в обязательном порядке передается заказчику с отчуждением прав на результат интеллектуальной деятельности (используемую технологию) в пользу заказчика либо на условиях совместного использования в случаях, определенных правовым актом заказчика;"
"Заказчик в обязательном порядке участвует в процессе утверждения ведомости покупных комплектующих изделий, при этом работы по договору не считаются выполненными и не могут быть приняты до утверждения (согласования) заказчиком ведомости приобретенных комплектующих. При этом работу по договору, выполненные и не приняты заказчиком до утверждения.","заказчик в обязательном порядке участвует в процессе утверждения ведомости покупных комплектующих изделий, при этом работы по договору не считаются выполненными и не могут быть приняты заказчиком до утверждения (согласования) заказчиком ведомости покупных комплектующих изделий;"
"Разработка, согласование, утверждение ведомости покупных комплектующих изделий должна осуществляться с соблюдением требований п. 10.3.1 - 10.3.5, 10.3.7, 10.3.8 Положения, а также согласование ведомости приобретенных комплектующих должны осуществляться с согласованием, утверждением ведомости покупателей комплектующих.","разработка, согласование, утверждение ведомости покупных комплектующих изделий должны осуществляться с соблюдением требований п. 10.3.1 - 10.3.5, 10.3.7, 10.3.8 Положения;"
"В случае, если в конструкторскую документацию, являющуюся результатом работ по договору, включаются указания на соответствие продукции (комплектующих) требованиям межгосударственных стандартов, национальных стандартов, в отношении такой продукции не допускается указание товарных знаков, знаков обслуживания, патентов, полезных моделей, промышленных образцов, наименование страны происхождения товара.","в случае, если в конструкторскую документацию, являющуюся результатом работ по договору (в том числе в ведомость покупных комплектующих изделий) включаются указания на соответствие продукции (комплектующих) требованиям межгосударственных стандартов, национальных стандартов, в отношении такой продукции (комплектующих) не допускается указание товарных знаков, знаков обслуживания, фирменных наименований, патентов, полезных моделей, промышленных образцов, наименование страны происхождения товара;"
"Включение указаний на ТУ в конструкторскую документацию, являющуюся результатом работ по договору, допускается только в случае, если в отношении такой продукции отсутствует применимый межгосударственный стандарт, национальный стандарт или национальный стандарт. ТУ может быть включен в комплектующие изделий, являющиеся результатом работы по договору (в том числе в ведомость покупных комплектующих изделий).","включение указаний на ТУ в конструкторскую документацию, являющуюся результатом работ по договору (в том числе в ведомость покупных комплектующих изделий), допускается только в случае, если в отношении такой продукции (комплектующих) отсутствует применимый межгосударственный стандарт, национальный стандарт;"
"В случае, если в конструкторскую документацию, являющуюся результатом работ по договору, включается указание на ТУ, товарные знаки, знаки обслуживания, патенты, полезные модели, промышленные образцы, а также наименование наименований, патентов, полезных моделей, промышленных образцов, то подрядчик обязан представить заказчику обоснование невозможности описания характеристик такой продукции в соответствии с требованиями п. 10.3.4 Положения.","в случае, если в конструкторскую документацию, являющуюся результатом работ по договору (в том числе в ведомость покупных комплектующих изделий), включается указание на ТУ, товарные знаки, знаки обслуживания, фирменные наименования, патенты, полезные модели, промышленные образцы, то подрядчик (исполнитель) обязан представить заказчику обоснование невозможности описания характеристик такой продукции (комплектующих) в соответствии с требованиями п. 10.3.4 Положения."
Закупки для производства ПГН для ПГН за закупки для изготовления ПГН Для производства ПГН Закупки в производство ПГН за покупки для производственного ПГН Заказки для производстве ПГН Цена за закупки на производства ПГН «Закупка для производства пГН» для производства ППГН для производства «ПГН» Цена за покупку для производства ГГН для оборудования ПГН будет зависеть от объема производства ПГН. Производство ПГН может быть произведено уже в следующем году.,Закупки для производства ПГН
"При осуществлении закупок продукции, используемой при производстве ПГН, заказчики должны обеспечить применение наиболее подходящих для конкретной закупочной ситуации способов и элементов закупок, исходя из необходимости достижения максимальной эффективности таких закупок.","При осуществлении закупок продукции, используемой при производстве ПГН, а также непосредственно при закупке ПГН заказчики должны обеспечить применение наиболее подходящих для конкретной закупочной ситуации способов и элементов закупок, исходя из необходимости достижения максимальной эффективности таких закупок."
"Содействие заказчикам в производстве и реализации ПГН является приоритетной задачей ЗП и осуществляется в целях создания условий для реализации стратегии развития Корпорации на долгосрочный период, утвержденной Наблюдательным советом Корпорации.","Содействие заказчикам в производстве и реализации ПГН является приоритетной задачей ЗП и осуществляется в целях создания условий для реализации стратегии развития Корпорации на долгосрочный период, утвержденной Наблюдательным советом Корпорации."
"Проведение закупок продукции, используемой при производстве ПГН, а также непосредственно ПГН осуществляется в порядке, установленном Положением, с учетом особенностей, предусмотренных настоящим подразделом.","Проведение закупок продукции, используемой при производстве ПГН, а также непосредственно ПГН осуществляется в порядке, установленном Положением, с учетом особенностей, предусмотренных настоящим подразделом."
"Заключение договора на поставку продукции, используемой при производстве ПГН, может осуществляться в течение нескольких дней. Компания, используемая при производстве ПГН, не будет поставлять продукцию, используемую при производстве пГН, для изготовления ПГН.","Заключение договора на поставку продукции, используемой при производстве ПГН, может осуществляться:"
"В ближайшее время можно будет провести любой конкурентный способ закупки, предусмотренный подп.1(1(1(1(1)) Положения, которые могут быть использованы для проведения любого конкурентного способа закупки, а также в любом конкурентном способе закупки.","путём проведения любого конкурентного способа закупки, предусмотренного подп. 6.1(1) Положения;"
"Состязательные состязательные действия согласно п.3 Положения, согласно которым участники состязательных событий будут состязаться согласно п.3. Положения, а также путём проведения совместязательных состязателей согласно п3 Положения.",путём проведения состязательных переговоров согласно п. 16.3 Положения;
"Положение о неконкурентной закупке может быть принятым для некоммерческой закупки в обмен на иной неконкурентную закупку при соблюдении ограничений, установленных Положением.","путём проведения иной неконкурентной закупки при соблюдении ограничений, установленных Положением с учетом особенностей, предусмотренных подразделом 19.23 Положения."
"В случае, если реализация ПГН планируется по итогам участия в регламентированной процедуре закупки 3-го лица, заключение договора на приобретение продукции, необходимой для производства планируемой к реализации ПГН осуществляется путем проведения закупки у единственного поставщика в соответствии с подп. 6.6(54) Положения.","В случае, если реализация ПГН планируется по итогам участия в регламентированной процедуре закупки 3-го лица, заключение договора на приобретение продукции, необходимой для производства планируемой к реализации ПГН, осуществляется путем проведения закупки у единственного поставщика в соответствии с подп. 6.6(54) Положения."
Заключение договора на поставку ПГН осуществляется на поставку нового ПГН. После заключения договора с поставщиком ПГН осуществляет обслуживание договора на закупку ПГН.,Заключение договора на поставку ПГН осуществляется:
"Единственный поставщик может провести внутригрупповую закупку у единственного поставщика на основании подп. 6.6(51) Положения и разделом 11 Приложение 5 к Положению с учетом особенностей, предусмотренных подп. 19.23.6(б) Положения.","путём проведения внутригрупповой закупки у единственного поставщика на основании подп. 6.6(51) Положения с учетом особенностей, предусмотренных подп. 19.23.6(б) Положения и разделом 11 Приложение 5 к Положению;"
"В случае отказа от заключения договора на условиях, указанных в Приложении 5 к Положению, заказчик не смог провести закупку иным способом. В случае, если после соблюдения порядка, предусмотренного подп. 19.23(1) – 19.23(2) Положения был получен отказ от заключения договора и/или договор не был заключен.","путём проведения закупки иным способом в случае, если после соблюдения заказчиком порядка, предусмотренного подп. 19.23(1) – 19.23(2) Положения был получен отказ от заключения договора на условиях, указанных в п.  11.2 Приложение 5 к Положению, и/или договор не был заключен."
"При проведении проведения мероприятия запрещается проводить мероприятия, запрещенные при проведении которых запрещается. При проведении мероприятий запрещается проведение проверки запрещается, а при проведении экспертизы запрещается провести экспертизу запрещаться.",При проведении закупки запрещается:
"Включение в состав одного лота продукции, являющейся ПГН, и продукции, не имеющейся ПГН. Это позволит исключить из состава одного лотта продукцию, являющую ПГН и продукцию, не являющаяся ПГН.","включение в состав одного лота продукции, являющейся ПГН, и продукции, не являющейся ПГН;"
"Включение в состав одного лота нескольких видов ПГН, если производство такой продукции осуществляется разными организациями Корпорации. Если производство ПГН осуществляется различными организациями, Корпорация может ввести в состав одной лота ПГН несколько видов продукции ПГН.","включение в состав одного лота нескольких видов ПГН, если производство такой продукции осуществляется разными организациями Корпорации."
Закупки технологического оборудования и оборудования для изготовления технологического и технологичного оборудования можно заказать в московской и московской фирмах. Закупки технологичного оборудования на зарубежных рынках и закупки технологических оборудования на рынок и в России. Закупка технологического оборудованием для производства и поставок оборудования на поставку оборудования.,Закупки технологического оборудования
При закупке технологического оборудования в состав технического задания включаются исчерпывающие сведения о назначении приобретаемого оборудования и планируемых способах его применения. При проведении закупки технического оборудования техническая задача включается исчерпывающие данные о планах применения оборудования.,При проведении закупки технологического оборудования в состав технического задания включаются исчерпывающие сведения о назначении приобретаемого оборудования и планируемых способах его применения.
"При закупке технологического оборудования запрещается устанавливать требования к технологическому оборудованию. При закупке оборудования запрещено устанавливать требования: требования: устанавливать не требования, устанавливать запрет на закупку оборудования запрещается устанавливать обязательства: требовать: требовать, чтобы закупать технологическое устройство запрещено.",При закупке технологического оборудования запрещается устанавливать требования:
"Заказчик не обосновал существующей или проектируемой производственной потребностью заказчика, а не обоснованным существующей производственной потребостью заказчика. Эксперты считают, что спрос на продукцию может быть выше, чем на рынок.","к характеристикам закупаемой продукции, напрямую не обоснованным существующей или проектируемой производственной потребностью заказчика;"
"В зависимости от массогабаритных характеристик приобретаемой продукции, такие ограничения обоснованы эксплуатационными нагрузками строительных конструкций в месте установки технологического оборудования и/или имеющимися установочными объемами.","к массогабаритным характеристикам приобретаемой продукции, за исключением случаев, когда такие ограничения обоснованы эксплуатационными нагрузками строительных конструкций в месте установки технологического оборудования и/или имеющимися установочными объемами."
"Требованиям к продукции, устанавливаемым при проведении закупки технологического оборудования, должна соответствовать продукция не менее, чем 2 (двух) различных производителей. Сведения о производителях и моделях, соответствующих требованиям организатора закупки, указываются в пояснительной записке, предусмотренной п. 2.1 Приложение 5. Приложение 5.","Требованиям к продукции, устанавливаемым при проведении закупки технологического оборудования, должна соответствовать продукция не менее, чем 2 (двух) различных производителей. Сведения о производителях и моделях технологического оборудования, соответствующих требованиям организатора закупки, указываются в пояснительной записке, предусмотренной п. 2.1 Приложение 5."
"Организация закупки технологического оборудования, которым соответствует продукция только одного производителя, может не допустить использования продукции иных производителей, а организатор закупки приводит пояснительную записку, предусмотренную п. 2.1 Приложения 5, либо с применением этапов, предусмотренных подп. 12.12(1, 12.12(2), 12.12(2) Положения.","При установлении требований к технологическому оборудованию, которым соответствует продукция только одного производителя, организатор закупки в пояснительной записке, предусмотренной п. 2.1 Приложение 5, приводит обоснование невозможности использования продукции иных производителей и процедура закупки проводится в двухэтапной форме (п. 6.4.3 Положения), либо с применением этапов, предусмотренных подп. 12.12(1), 12.12(2) Положения."
Порядок проведения отдельных видов внутригрупповых закупок у единственного поставщика Единственный поставщик и Единый поставщик Единого поставщика Размер и объем внутригрупповых контрактов у поставщика единственный поставщик Изменения порядка проведения внутригрупповых заказок у одного поставщика и порядок их проведения в единственном поставщике Порядок ведения отдельных внутригрупповых поставок Единный поставщик определяет порядок проведения одного типа внутригрупповых покупок у поставщика.,Порядок проведения отдельных видов внутригрупповых закупок у единственного поставщика
"Настоящий подраздел регламентирует порядок проведения внутригрупповых закупок у единственного поставщика, проводимых в соответствии с подп. 6.6(51) Положения (далее для целей настоящего подраздела – внутригрупповая закупка).","Настоящий подраздел регламентирует порядок проведения внутригрупповых закупок у единственного поставщика, проводимых в соответствии с подп. 6.6(51) Положения (далее для целей настоящего подраздела – внутригрупповая закупка)."
Внутригрупповые закупки являются целью проведения внутригрупповых закупок. Целями закупок являются: проведение внутригрупповых покупок является: цель проведения закупок являлась: проведение внутренних закупок и проведение наружных закупок.,Целями проведения внутригрупповых закупок являются:
"Корпорация «Корпорация» обеспечит сохранение и развитие научного и производственного потенциала организаций Корпорации, обеспечение сохранения и развития научно- производственного и научного потенциала Корпорации.",обеспечение сохранения и развития научного и производственного потенциала организаций Корпорации;
"обеспечение продвижения на внутренний и внешний рынки высокотехнологичной промышленной продукции, а также связанных с созданием этой продукции товаров и результатов интеллектуальной деятельности.","обеспечение продвижения на внутренний и внешний рынки и реализации на внутреннем и внешнем рынках высокотехнологичной промышленной продукции, а также связанных с созданием этой продукции товаров и результатов интеллектуальной деятельности;"
"Содействие организациям Корпорации в разработке и производстве высокотехнологичной промышленной продукции, проведении перспективных исследований и развитии технологий. Организации Корпорации содействуют в разработке высокотехнологичной продукции и разработке перспективных технологий.","содействие организациям Корпорации в разработке и производстве высокотехнологичной промышленной продукции, проведении перспективных исследований и развитии технологий;"
"диверсификация производства организаций оборонно-промышленного комплекса — это диверсификация и диверсификация предприятий, которых ориентирована диверсификация диверсификация отрасли.",диверсификация производства организаций оборонно-промышленного комплекса;
Корпорация Корпорации сохраняет добавленной стоимости в контуре Корпорации. Корпорация сохраняет добавленная стоимость в контуре и сохраняет добавленное значение в контуреКорпорации.,сохранение добавленной стоимости в контуре Корпорации.
"В договор, заключаемый по итогам внутригрупповой закупки, должно включаться условие о необходимости выполнения не менее 30% обязательств по договору самостоятельно без привлечения субподрядчиков к выполнению работ (оказанию услуг) по договору, кроме случаев, предусмотренных п. 19.23.4 Положения.","В договор, заключаемый по итогам внутригрупповой закупки, должно включаться условие о необходимости выполнения не менее 30% (тридцати процентов) обязательств по договору самостоятельно без привлечения субподрядчиков (соисполнителей) к выполнению работ (оказанию услуг) по договору, кроме случаев, предусмотренных п. 19.23.4 Положения."
"Размер (объем) обязательств, допускаемых к передаче на субподряд, установленный п. 19.23.3 Положения, не применяется в следующих случаях: обязательства, допускаемые к субподряду, установленные п. 1923.3.3 Положения. Размер обязательств и объем обязательств не применяются в случаях, если субподряд не будет передача на подряд.","Размер (объем) обязательств, допускаемых к передаче на субподряд, установленный п. 19.23.3 Положения, не применяется в следующих случаях:"
"Товары, которые являются предметом закупки в предмете закупки являются товаром закупки. предметом закупок являются товары, а также товары, которые могут быть поставлены в ближайшее время.",предметом закупки являются товары;
